"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 428",0.00196811134048846,0.000384396746189153,99.9898693066003
"comp 429",0.00194665388156916,0.000380205836243976,99.9902495124365
"comp 430",0.00191924639623476,0.000374852811764602,99.9906243652483
"comp 431",0.00185562985921491,0.000362427706877911,99.9909867929552
"comp 432",0.00180639882228371,0.000352812269977287,99.9913396052251
"comp 433",0.0017734465684629,0.000346376282902911,99.991685981508
"comp 434",0.00173489408605361,0.000338846501182345,99.9920248280092
"comp 435",0.00167801871986225,0.000327738031223095,99.9923525660404
"comp 436",0.00160683486305805,0.000313834934191025,99.9926664009746
"comp 437",0.00157259115090794,0.000307146709161707,99.9929735476838
"comp 438",0.00152249846171855,0.000297362980804404,99.9932709106646
"comp 439",0.00150460921902543,0.000293868988090904,99.9935647796527
"comp 440",0.00145486124315454,0.000284152586553622,99.9938489322392
